"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Leptospirosis","Confirmed cases","Reported cases","N","2012","PT","Portugal",21.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","RO","Romania",74.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","SE","Sweden",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","SI","Slovenia",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","SK","Slovakia",8.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2012","UK","United Kingdom",78.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","AT","Austria",15.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","BE","Belgium",14.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","BG","Bulgaria",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","CZ","Czechia",6.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","DE","Germany",80.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","DK","Denmark",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","EE","Estonia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","EL","Greece",24.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","ES","Spain",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","EU27_21","EU (without UK)",389.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","EU27_UK_21","EU (with UK until 2019)",439.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","EUEEA30_21","EU/EEA (without UK)",389.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",439.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","FI","Finland",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","FR","France",36.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","HR","Croatia",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","HU","Hungary",7.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","IE","Ireland",13.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","IS","Iceland",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","IT","Italy",33.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","LT","Lithuania",10.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","LV","Latvia",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","MT","Malta",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","NL","Netherlands",26.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","PL","Poland",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","PT","Portugal",37.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","RO","Romania",65.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","SE","Sweden",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","SI","Slovenia",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","SK","Slovakia",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2013","UK","United Kingdom",50.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","AT","Austria",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","BE","Belgium",21.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","BG","Bulgaria",31.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","CZ","Czechia",35.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","DE","Germany",123.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","DK","Denmark",7.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","EE","Estonia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","EL","Greece",36.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","ES","Spain",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","EU27_21","EU (without UK)",888.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","EU27_UK_21","EU (with UK until 2019)",966.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","EUEEA30_21","EU/EEA (without UK)",888.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","EUEEAUK_21","EU/EEA (with UK until 2019)",966.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","FI","Finland",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","FR","France",96.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","HR","Croatia",105.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","HU","Hungary",31.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","IE","Ireland",22.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","IS","Iceland",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","IT","Italy",42.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","LT","Lithuania",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","LV","Latvia",7.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","MT","Malta",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","NL","Netherlands",100.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","PL","Poland",10.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","PT","Portugal",65.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","RO","Romania",92.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","SE","Sweden",6.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","SI","Slovenia",31.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","SK","Slovakia",12.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2014","UK","United Kingdom",78.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","AT","Austria",12.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","BE","Belgium",16.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","BG","Bulgaria",14.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","CZ","Czechia",17.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","DE","Germany",87.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","DK","Denmark",8.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","EE","Estonia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","EL","Greece",35.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","ES","Spain",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","EU27_21","EU (without UK)",560.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","EU27_UK_21","EU (with UK until 2019)",627.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","EUEEA30_21","EU/EEA (without UK)",560.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","EUEEAUK_21","EU/EEA (with UK until 2019)",627.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","FI","Finland",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","FR","France",58.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","HR","Croatia",36.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","HU","Hungary",10.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","IE","Ireland",16.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","IS","Iceland",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","IT","Italy",38.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","LT","Lithuania",10.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","LV","Latvia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","MT","Malta",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","NL","Netherlands",86.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","PL","Poland",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","PT","Portugal",44.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","RO","Romania",37.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","SE","Sweden",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","SI","Slovenia",11.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","SK","Slovakia",7.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2015","UK","United Kingdom",67.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","AT","Austria",14.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","BE","Belgium",19.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","BG","Bulgaria",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","CZ","Czechia",18.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","DE","Germany",91.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","DK","Denmark",15.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","EE","Estonia",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","EL","Greece",19.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","ES","Spain",16.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","EU27_21","EU (without UK)",707.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","EU27_UK_21","EU (with UK until 2019)",783.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","EUEEA30_21","EU/EEA (without UK)",707.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","EUEEAUK_21","EU/EEA (with UK until 2019)",783.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","FI","Finland",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","FR","France",79.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","HR","Croatia",11.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","HU","Hungary",15.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2016","IE","Ireland",26.000000000,""
